Login Date,IP Address,User Agent,Login Type
Mon Dec 14 17:35:07 UTC 2020,2600:1700:9e06:4560:251c:bbd4:8fce:f09a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",Login
Wed Feb 20 19:29:47 UTC 2019,98.146.196.123,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36",Login
Fri Oct 23 19:01:17 UTC 2020,2600:1700:9e06:4560:a10c:3beb:9349:b01e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",Login
Fri Mar 20 19:34:32 UTC 2020,74.87.135.115,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",Login
Tue Aug 18 05:02:11 UTC 2020,2600:1700:9e06:4560:c54b:d093:27e1:498,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36",Login
Thu Sep 05 18:33:40 UTC 2019,69.166.46.152,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",Login
Fri Dec 11 21:08:38 UTC 2020,2600:1700:9e06:4560:f440:6d79:18f6:e566,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",Login
Sat Feb 09 03:57:16 UTC 2019,98.146.196.123,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.96 Safari/537.36",Login
Mon Feb 25 23:59:14 UTC 2019,10.186.84.226,LinkedIn/9.12.7185.0 CFNetwork/897.15 Darwin/17.5.0,Login
Fri Feb 08 19:31:51 UTC 2019,98.146.199.41,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",Login
Thu Jan 17 22:00:20 UTC 2019,69.166.46.146,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",Login
Thu Jan 17 22:22:47 UTC 2019,69.166.46.146,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",Login
