Time,Search Query
2020/12/15 17:13:14 UTC,detroit red wings
2020/12/13 17:52:45 UTC,data scientist
2020/12/13 17:52:45 UTC,data analyst
2020/12/15 23:29:58 UTC,business analyst
2020/12/11 23:08:10 UTC,business analyst
2020/12/15 17:07:09 UTC,sports data science
2020/12/15 16:48:35 UTC,data scientist
2020/12/15 23:29:58 UTC,business analyst
2020/12/15 17:04:43 UTC,data scientist sports
2020/12/15 17:04:46 UTC,data scientist sports
2020/12/15 17:13:04 UTC,detroit red wings
2020/12/14 22:58:23 UTC,business analyst
2020/12/14 17:16:52 UTC,data scientist
2020/12/15 17:19:21 UTC,general assembly data science
2020/12/13 17:52:45 UTC,data analyst
2020/12/15 17:10:52 UTC,data analyst sports
2020/12/12 17:02:58 UTC,data scientist
2020/12/15 17:10:57 UTC,data analyst sports
2020/12/15 16:48:35 UTC,data analyst
2020/12/12 23:04:46 UTC,information technology management
2020/12/15 17:10:58 UTC,data analyst sports
2020/12/12 17:02:58 UTC,data analyst
2020/12/15 17:07:10 UTC,sports data science
2020/12/14 22:58:23 UTC,business analyst
2020/12/12 17:02:57 UTC,data analyst
2020/12/14 17:16:52 UTC,data analyst
2020/12/14 17:28:43 UTC,novi
2020/12/12 23:04:46 UTC,business analyst
2020/12/15 17:13:14 UTC,detroit red wings
2020/12/15 17:04:54 UTC,sports data scientist
2020/12/15 17:13:14 UTC,detroit red wings
2020/12/15 17:04:55 UTC,sports data scientist
2020/12/11 23:08:10 UTC,information technology management
2020/12/14 17:16:52 UTC,data analyst
2020/12/15 17:08:32 UTC,data analyst sports
2020/12/15 17:13:05 UTC,detroit red wings
2020/12/13 22:45:19 UTC,business analyst
2020/12/15 17:04:55 UTC,"""Data Scientist"""
2020/12/14 22:58:23 UTC,information technology management
2020/12/15 17:19:22 UTC,general assembly data science
2020/12/15 23:29:58 UTC,information technology management
2020/12/12 17:02:58 UTC,data scientist
2020/12/11 23:08:10 UTC,business analyst
2020/12/15 17:08:33 UTC,data analyst sports
2020/12/14 17:16:52 UTC,data scientist
2020/12/13 17:52:45 UTC,data scientist
2020/12/15 17:10:57 UTC,data analyst sports
2020/12/13 22:45:19 UTC,information technology management
2020/12/15 16:48:35 UTC,data scientist
2020/12/15 16:48:35 UTC,data analyst
